event_idx,ts_ns,best_bid,best_ask,bid_size,ask_size,mid,microprice,spread,imb1,imb5,imb10
18,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
19,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
20,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
21,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
22,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
23,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
24,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
25,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
26,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
27,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
28,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
29,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
30,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
31,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
32,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
33,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
34,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
35,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
36,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
37,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.362815640004,-0.431733441176
38,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.408983604395,-0.355989193933
39,1784621027618035100,66186.48,66186.49,0.02460275,0.02445664,66186.485,66186.4850149,0.0100000000093,0.00297822700201,-0.408983604395,-0.355989193933
40,1784621027618035100,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.541807945877,-0.446782537082
41,1784621027618035100,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.541807945877,-0.446782537082
