event_type,ts_ns,best_bid,best_ask,bid_size,ask_size,trade_price,trade_size,trade_side
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795716900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795716900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795716900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795716900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795716900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795716900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795716900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728795716900,66240.38,66240.39,0.09057562,0.2411635,0,0,
trade,1784621728795850300,66240.38,66240.39,0.09057562,0.2411635,66240.38,3e-08,b
quote,1784621728796099900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057562,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,0.2411635,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796099900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796341900,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.09057559,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728796606800,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728836703700,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728836703700,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728836703700,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728836703700,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728836703700,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728836703700,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728836703700,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728836703700,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728886802600,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.03939465,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621728948277700,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621729006967500,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621729006967500,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621729006967500,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621729006967500,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621729006967500,66240.38,66240.39,0.0378393,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.74598343,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729067219100,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729118560300,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729118560300,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729118560300,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729118560300,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729118560300,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
