type,side,price,size,ts_ns
snapshot,b,65824.00,0.00153174,1784618834527258500
snapshot,b,65822.90,0.00002277,1784618834527258500
snapshot,b,65822.82,0.00001700,1784618834527258500
snapshot,b,65822.59,0.16570359,1784618834527258500
snapshot,b,65822.58,0.14000000,1784618834527258500
snapshot,b,65820.97,0.03389502,1784618834527258500
snapshot,b,65820.84,0.02382085,1784618834527258500
snapshot,b,65820.83,0.06831285,1784618834527258500
snapshot,b,65820.80,0.00153174,1784618834527258500
snapshot,b,65820.00,0.01000000,1784618834527258500
snapshot,b,65819.11,0.00001700,1784618834527258500
snapshot,b,65818.40,0.00758640,1784618834527258500
snapshot,b,65817.68,0.04555294,1784618834527258500
snapshot,b,65817.65,0.45472045,1784618834527258500
snapshot,b,65817.64,0.26156534,1784618834527258500
snapshot,b,65817.60,0.00153174,1784618834527258500
snapshot,b,65817.59,0.06657832,1784618834527258500
snapshot,b,65816.94,0.00155615,1784618834527258500
snapshot,b,65816.54,0.47259260,1784618834527258500
snapshot,b,65816.21,0.00160341,1784618834527258500
snapshot,b,65816.18,0.00145064,1784618834527258500
snapshot,b,65815.58,0.00075969,1784618834527258500
snapshot,b,65815.40,0.00001700,1784618834527258500
snapshot,b,65815.00,0.01000000,1784618834527258500
snapshot,b,65814.73,0.06831285,1784618834527258500
snapshot,b,65814.72,0.75496784,1784618834527258500
snapshot,b,65814.71,1.26307100,1784618834527258500
snapshot,b,65814.41,0.00075913,1784618834527258500
snapshot,a,65863.64,0.10383974,1784618834527258500
snapshot,a,65864.00,0.01070000,1784618834527258500
snapshot,a,65864.02,0.08249148,1784618834527258500
snapshot,a,65864.03,0.12146236,1784618834527258500
snapshot,a,65864.96,0.01518258,1784618834527258500
snapshot,a,65865.29,0.00531400,1784618834527258500
snapshot,a,65865.60,0.00153174,1784618834527258500
snapshot,a,65866.00,0.01070000,1784618834527258500
snapshot,a,65866.11,0.13430960,1784618834527258500
snapshot,a,65867.35,0.00025156,1784618834527258500
snapshot,a,65867.51,0.00664251,1784618834527258500
snapshot,a,65868.00,0.01070000,1784618834527258500
snapshot,a,65868.14,0.09103615,1784618834527258500
snapshot,a,65868.15,0.12145475,1784618834527258500
snapshot,a,65868.80,0.00153174,1784618834527258500
snapshot,a,65869.09,0.19847575,1784618834527258500
