event_idx,ts_ns,best_bid,best_ask,bid_size,ask_size,mid,microprice,spread,imb1,imb5,imb10
60,1784620061773747300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.6730078691
61,1784620061773747300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
62,1784620061773747300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
63,1784620061773747300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
64,1784620061773747300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
65,1784620061773747300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
66,1784620061773747300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
67,1784620061773747300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
68,1784620061773747300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
69,1784620061773945000,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
70,1784620061773945000,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
71,1784620061773945000,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
72,1784620061773945000,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.6730078691
73,1784620061773945000,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.6730078691
74,1784620061773945000,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.6730078691
75,1784620061773945000,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.6730078691
