snap,ts_ns,side,rank,price,size
4,1784621732497011000,a,5,66226.19,0.12079814
4,1784621732497011000,a,6,66226.76,0.01509964
4,1784621732497011000,a,7,66227.09,0.00528497
4,1784621732497011000,a,8,66227.67,0.09070899
4,1784621732497011000,a,9,66228,0.0083
4,1784621732497011000,a,10,66228.32,0.00292268
4,1784621732497011000,a,11,66229.32,0.00660622
5,1784621733356898100,b,0,66223.21,0.03422149
5,1784621733356898100,b,1,66221.58,0.01339307
5,1784621733356898100,b,2,66221.5,0.02604761
5,1784621733356898100,b,3,66220.8,0.00153174
5,1784621733356898100,b,4,66220.45,0.00755054
5,1784621733356898100,b,5,66220,0.01
5,1784621733356898100,b,6,66219.79,1.7e-05
5,1784621733356898100,b,7,66217.6,0.00153174
5,1784621733356898100,b,8,66216.08,1.637e-05
5,1784621733356898100,b,9,66215.69,0.04540639
5,1784621733356898100,b,10,66215,0.01
5,1784621733356898100,b,11,66214.4,0.00153174
5,1784621733356898100,a,0,66225.43,0.10967851
5,1784621733356898100,a,1,66225.61,0.09590963
5,1784621733356898100,a,2,66226,0.0083
5,1784621733356898100,a,3,66226.19,0.12079814
5,1784621733356898100,a,4,66226.76,0.01509964
5,1784621733356898100,a,5,66227.09,0.00528497
5,1784621733356898100,a,6,66227.48,0.06305228
5,1784621733356898100,a,7,66227.49,0.09070899
5,1784621733356898100,a,8,66228,0.0083
5,1784621733356898100,a,9,66229.32,0.00660622
5,1784621733356898100,a,10,66230,0.0083
5,1784621733356898100,a,11,66230.59,0.07029585
6,1784621734186337400,b,0,66221.58,0.04749565
6,1784621734186337400,b,1,66221.5,0.02604761
6,1784621734186337400,b,2,66220.8,0.00153174
6,1784621734186337400,b,3,66220.25,0.01510112
6,1784621734186337400,b,4,66220,0.01
6,1784621734186337400,b,5,66219.79,1.7e-05
6,1784621734186337400,b,6,66219,1
6,1784621734186337400,b,7,66217.6,0.00153174
6,1784621734186337400,b,8,66216.61,0.01510196
6,1784621734186337400,b,9,66216.08,1.637e-05
6,1784621734186337400,b,10,66215.69,0.04540639
6,1784621734186337400,b,11,66215,0.01
6,1784621734186337400,a,0,66221.59,0.2697286
6,1784621734186337400,a,1,66222.92,0.01510052
6,1784621734186337400,a,2,66223.22,0.16995862
6,1784621734186337400,a,3,66223.25,0.00528528
6,1784621734186337400,a,4,66223.71,0.001633
6,1784621734186337400,a,5,66224,0.0083
6,1784621734186337400,a,6,66224.1,0.09070899
6,1784621734186337400,a,7,66225.43,0.06721261
6,1784621734186337400,a,8,66225.47,0.00292273
6,1784621734186337400,a,9,66225.48,0.0066066
6,1784621734186337400,a,10,66226,0.0083
6,1784621734186337400,a,11,66227.48,0.06305228
7,1784621735826241600,b,0,66221.58,0.10094092
7,1784621735826241600,b,1,66221.5,0.02604761
